model_variant,seed,model,label,selected_threshold,test_AUROC,test_AUPRC,female_AUROC,male_AUROC,female_FNR,male_FNR,female_FPR,male_FPR,FNR_gap,FPR_gap,Equalized_Odds_gap,AUROC_gap,AUPRC_gap,Worst_group_Recall,Worst_group_AUROC
r50_dynamic_grl_fast_ramp_v2,123,r50_dynamic_grl_fast_ramp_v2,Nodule,0.735,0.7711897239637862,0.23373087735009457,0.7657808767467479,0.7778097905511038,0.6527777777777778,0.5823863636363636,0.06349559986632505,0.07177868239594583,0.07039141414141414,0.008283082529620775,0.07039141414141414,0.01202891380435589,0.003054097697891278,0.3472222222222222,0.7657808767467479
r50_dynamic_grl_fast_ramp_v2,123,r50_dynamic_grl_fast_ramp_v2,Mass,0.8749999999999999,0.8336856314744336,0.28789354033519565,0.8402217509625864,0.8285335817076,0.6572104018912529,0.6278713629402757,0.025848849945235487,0.04177696889477167,0.029339038950977225,0.015928118949536184,0.029339038950977336,0.011688169254986391,0.0015300348131207508,0.34278959810874704,0.8285335817076
r50_dynamic_grl_fast_ramp_v2,123,r50_dynamic_grl_fast_ramp_v2,Pneumothorax,0.835,0.8619276821380052,0.2998106907350068,0.8492321223388838,0.8776567090417374,0.5487804878048781,0.5538116591928252,0.05702194008241452,0.03464823098820659,0.005031171387947064,0.02237370909420793,0.02237370909420793,0.028424586702853638,0.047259968493099325,0.4461883408071749,0.8492321223388838
r50_dynamic_grl_fast_ramp_v2,123,r50_dynamic_grl_fast_ramp_v2,Consolidation,0.73,0.8049356135106956,0.14078912230391788,0.7962784904499303,0.8097338022497945,0.6929347826086957,0.5711835334476844,0.06717474142623843,0.10996874485935186,0.12175124916101132,0.04279400343311343,0.12175124916101127,0.013455311799864256,0.020413370697011657,0.3070652173913043,0.7962784904499303
r50_dynamic_grl_fast_ramp_v2,2026,r50_dynamic_grl_fast_ramp_v2,Infiltration,0.565,0.7025147938498446,0.3446738817556946,0.7025190117653448,0.7021949462999008,0.542433234421365,0.5140961857379768,0.18670564311133706,0.19604995643334303,0.028337048683388266,0.00934431332200597,0.02833704868338821,0.0003240654654440567,0.010815779040864781,0.457566765578635,0.7021949462999008
r50_dynamic_grl_fast_ramp_v2,2026,r50_dynamic_grl_fast_ramp_v2,Effusion,0.69,0.876034938390266,0.498819192856939,0.8712190538812661,0.8798883062424426,0.3895297249334516,0.3751753155680224,0.10040351293615,0.09916040653999116,0.0143544093654292,0.0012431063961588495,0.0143544093654292,0.00866925236117655,0.008959303515315153,0.6104702750665484,0.8712190538812661
r50_dynamic_grl_fast_ramp_v2,2026,r50_dynamic_grl_fast_ramp_v2,Atelectasis,0.635,0.8062785176281996,0.3337736452704355,0.8071341291602093,0.8051724454488317,0.49292452830188677,0.45106696100073584,0.12464101091326824,0.14197856264276928,0.04185756730115092,0.01733755172950105,0.04185756730115098,0.0019616837113776153,0.03994403976394406,0.5070754716981132,0.8051724454488317
r50_dynamic_grl_fast_ramp_v2,2026,r50_dynamic_grl_fast_ramp_v2,Nodule,0.7449999999999999,0.7694519315991719,0.22849010246750323,0.7719413926639683,0.7678021177128098,0.6215277777777778,0.5696022727272727,0.07964798930600424,0.08714796045526293,0.05192550505050508,0.007499971149258697,0.05192550505050508,0.004139274951158511,0.012874110569580599,0.3784722222222222,0.7678021177128098
r50_dynamic_grl_fast_ramp_v2,2026,r50_dynamic_grl_fast_ramp_v2,Mass,0.8949999999999999,0.8396763059070628,0.29013918756070295,0.8454472953063059,0.8356354067111726,0.6737588652482269,0.6094946401225115,0.029572836801752465,0.039046988749172735,0.06426422512571539,0.00947415194742027,0.06426422512571545,0.009811888595133267,0.005011131361639276,0.3262411347517731,0.8356354067111726
r50_dynamic_grl_fast_ramp_v2,2026,r50_dynamic_grl_fast_ramp_v2,Pneumothorax,0.8049999999999999,0.8654571906792237,0.3032074182015389,0.8590338354340539,0.8721712315152356,0.5505226480836237,0.5919282511210763,0.0463303263169618,0.033590890605937375,0.041405603037452554,0.012739435711024427,0.041405603037452554,0.013137396081181696,0.11407113477223166,0.4080717488789238,0.8590338354340539
r50_dynamic_grl_fast_ramp_v2,2026,r50_dynamic_grl_fast_ramp_v2,Consolidation,0.63,0.8102850477896131,0.14164976791599806,0.7882686208610448,0.823024996494131,0.5271739130434783,0.48713550600343053,0.11551442569406642,0.13480835663760488,0.04003840704004774,0.019293930943538457,0.040038407040047685,0.0347563756330862,0.03328830368094926,0.47282608695652173,0.7882686208610448
