model_variant,seed,label,support,positive_support,negative_support,threshold,AUROC,AUPRC,TPR,Recall,FNR,TNR,Specificity,FPR,TP,FP,TN,FN,group
r50_dynamic_eo_gradnorm_common_epoch_v2,2026,Infiltration,9553,1685,7868,0.57,0.7089583845618883,0.33820192829312107,0.5234421364985163,0.5234421364985163,0.47655786350148366,0.7670310116929334,0.7670310116929334,0.2329689883070666,882,1833,6035,803,Female
r50_dynamic_eo_gradnorm_common_epoch_v2,2026,Infiltration,12741,2412,10329,0.57,0.7099710968505972,0.35467711611750785,0.5377280265339967,0.5377280265339967,0.4622719734660033,0.7573821279891567,0.7573821279891567,0.24261787201084326,1297,2506,7823,1115,Male
r50_dynamic_eo_gradnorm_common_epoch_v2,2026,Effusion,9553,1127,8426,0.6749999999999999,0.8711272267294516,0.52068172077192,0.6486246672582077,0.6486246672582077,0.3513753327417924,0.8899833847614527,0.8899833847614527,0.11001661523854735,731,927,7499,396,Female
r50_dynamic_eo_gradnorm_common_epoch_v2,2026,Effusion,12741,1426,11315,0.6749999999999999,0.8777276871236098,0.4800719595960542,0.6367461430575035,0.6367461430575035,0.3632538569424965,0.8958904109589041,0.8958904109589041,0.10410958904109589,908,1178,10137,518,Male
r50_dynamic_eo_gradnorm_common_epoch_v2,2026,Atelectasis,9553,848,8705,0.625,0.8176970782352367,0.3363419058168913,0.5589622641509434,0.5589622641509434,0.4410377358490566,0.8744399770246984,0.8744399770246984,0.12556002297530156,474,1093,7612,374,Female
r50_dynamic_eo_gradnorm_common_epoch_v2,2026,Atelectasis,12741,1359,11382,0.625,0.8139494876500326,0.36312887794149035,0.5526122148638705,0.5526122148638705,0.44738778513612953,0.8621507643647865,0.8621507643647865,0.1378492356352135,751,1569,9813,608,Male
r50_dynamic_eo_gradnorm_common_epoch_v2,2026,Nodule,9553,576,8977,0.7499999999999999,0.7784731311809192,0.2378003957391508,0.3732638888888889,0.3732638888888889,0.6267361111111112,0.9274813412053025,0.9274813412053025,0.07251865879469756,215,651,8326,361,Female
r50_dynamic_eo_gradnorm_common_epoch_v2,2026,Nodule,12741,704,12037,0.7499999999999999,0.7753605478751123,0.2190754196873673,0.4005681818181818,0.4005681818181818,0.5994318181818182,0.9249813076347927,0.9249813076347927,0.07501869236520728,282,903,11134,422,Male
r50_dynamic_eo_gradnorm_common_epoch_v2,2026,Mass,9553,423,9130,0.845,0.8399573794857055,0.3073299615111871,0.37115839243498816,0.37115839243498816,0.6288416075650118,0.9667031763417305,0.9667031763417305,0.03329682365826944,157,304,8826,266,Female
r50_dynamic_eo_gradnorm_common_epoch_v2,2026,Mass,12741,653,12088,0.845,0.828798104355705,0.3024639921432276,0.37978560490045943,0.37978560490045943,0.6202143950995406,0.9604566512243548,0.9604566512243548,0.03954334877564527,248,478,11610,405,Male
r50_dynamic_eo_gradnorm_common_epoch_v2,2026,Pneumothorax,9553,574,8979,0.845,0.8561277126302836,0.35442440483502546,0.44076655052264807,0.44076655052264807,0.5592334494773519,0.9571221739614656,0.9571221739614656,0.04287782603853436,253,385,8594,321,Female
r50_dynamic_eo_gradnorm_common_epoch_v2,2026,Pneumothorax,12741,446,12295,0.845,0.885599162589335,0.26409116285424167,0.3654708520179372,0.3654708520179372,0.6345291479820628,0.9744611630744205,0.9744611630744205,0.025538836925579504,163,314,11981,283,Male
r50_dynamic_eo_gradnorm_common_epoch_v2,2026,Consolidation,9553,368,9185,0.7999999999999999,0.7877822418404298,0.13115824065476478,0.31521739130434784,0.31521739130434784,0.6847826086956522,0.9307566684812194,0.9307566684812194,0.06924333151878062,116,636,8549,252,Female
r50_dynamic_eo_gradnorm_common_epoch_v2,2026,Consolidation,12741,583,12158,0.7999999999999999,0.8236433556232307,0.1686935719743839,0.36363636363636365,0.36363636363636365,0.6363636363636364,0.926714920217141,0.926714920217141,0.07328507978285902,212,891,11267,371,Male
