model_variant,seed,fine_tune_epoch,checkpoint_path,lambda_start,lambda_end,lambda_mean,layer4_trainable,train_disease_loss,train_conditional_adv_loss,mean_task_adv_gradient_cosine,mean_task_gradient_norm,mean_adversary_gradient_norm,mean_effective_reversed_gradient_ratio,conflict_fraction,val_disease_loss,val_conditional_adv_loss,val_macro_auroc,val_macro_auprc,val_conditional_adversary_mean_label_auroc,val_mean_FNR_gap,val_mean_FPR_gap,val_mean_Equalized_Odds_gap,val_mean_Worst_group_Recall,val_mean_AUROC_gap
r50_dynamic_eo_gradnorm_common_epoch_v2,42,1,checkpoints/r50_dynamic_eo_gradnorm_common_epoch_v2_seed42_epoch01.pt,0.0,0.02499080279852306,0.008647797501880904,False,0.7524808165104294,0.6923692947132413,-0.003989379463449799,1.3515594965545932,0.03963163390785879,0.008647797484605294,0.48924949290060854,0.9702883637747046,0.691581933011663,0.8100000013398324,0.2993166675676561,0.5263533747459304,0.08040699761266093,0.014762920956289375,0.08040699761266093,0.43429923057827174,0.03643429026002021
r50_dynamic_eo_gradnorm_common_epoch_v2,42,2,checkpoints/r50_dynamic_eo_gradnorm_common_epoch_v2_seed42_epoch02.pt,0.024999999999999994,0.07499080167053784,0.049994929006085195,True,0.7395739532838906,0.6927184823773833,-0.0005641746861404648,2.0391992659767064,0.04932240922396915,0.049994929016966366,0.495131845841785,1.0469850135221772,0.6923790352100501,0.8098671391661482,0.30133416330637114,0.5174777919956777,0.07725484332413084,0.013505467003112776,0.07896451476614964,0.43637094240045,0.03713776975219983
r50_dynamic_eo_gradnorm_common_epoch_v2,42,3,checkpoints/r50_dynamic_eo_gradnorm_common_epoch_v2_seed42_epoch03.pt,0.075,0.0999999988720148,0.0913471315042043,True,0.731998328620123,0.693060465166006,-0.0010669939373772457,2.26435796391166,0.03333717972195082,0.09134713151392057,0.4918864097363083,1.0086975084160448,0.6927610034486817,0.8093883642381323,0.3010526179312948,0.5068907166114747,0.07770010419929485,0.009309074811205702,0.07868271075031388,0.4347941660574168,0.036357999191264874
r50_dynamic_eo_gradnorm_common_epoch_v2,42,4,checkpoints/r50_dynamic_eo_gradnorm_common_epoch_v2_seed42_epoch04.pt,0.1,0.1,0.09999999999999999,True,0.7239057747793229,0.6931378484586926,-0.010142079745459614,2.369984368209181,0.031228613922406463,0.10000000209613698,0.481947261663286,1.015171314574459,0.6925245869173847,0.809431060555138,0.3006808388281862,0.5102858317568654,0.07932631566133767,0.013863592205611968,0.08068046879514977,0.4418067815682215,0.03499450236887599
r50_dynamic_eo_gradnorm_common_epoch_v2,42,5,checkpoints/r50_dynamic_eo_gradnorm_common_epoch_v2_seed42_epoch05.pt,0.1,0.1,0.09999999999999999,True,0.7191488201426881,0.6930796279047599,-0.007919952023596131,2.4410691863262146,0.03243214301887756,0.10000000203870857,0.48539553752535497,1.0236523920876093,0.6925868138835537,0.8088367498329535,0.3007842297114302,0.5073377152453428,0.06653483769148495,0.01273213895213939,0.06939869926507682,0.4758238658373373,0.036124113042448905
r50_dynamic_eo_gradnorm_common_epoch_v2,42,6,checkpoints/r50_dynamic_eo_gradnorm_common_epoch_v2_seed42_epoch06.pt,0.1,0.1,0.09999999999999999,True,0.7122465561925984,0.6931253271644413,-0.002331680489706256,2.5537223959065836,0.03156338715094612,0.1000000020538213,0.491683569979716,1.0310607122240856,0.6940324424304212,0.8089811285695677,0.30059879465348843,0.5083649587485894,0.07547973425934724,0.013373426517669845,0.0790568823668162,0.45573948231160205,0.03446144784165791
r50_dynamic_eo_gradnorm_common_epoch_v2,42,7,checkpoints/r50_dynamic_eo_gradnorm_common_epoch_v2_seed42_epoch07.pt,0.1,0.1,0.09999999999999999,True,0.7060060920695744,0.6930852644616387,-0.005741361799191435,2.6031762542153953,0.02940309884973082,0.10000000201452817,0.4910750507099391,1.0235840081950904,0.6931689132090345,0.8071499479583224,0.2994481637695055,0.5066492755553732,0.06985241074429178,0.013351542476826054,0.07250099125586919,0.45259586545842206,0.034707490408928524
r50_dynamic_eo_gradnorm_common_epoch_v2,42,8,checkpoints/r50_dynamic_eo_gradnorm_common_epoch_v2_seed42_epoch08.pt,0.1,0.1,0.09999999999999999,True,0.7029065380044534,0.693137484608357,-0.006445705631545089,2.697894363870002,0.028999975884265245,0.10000000205231004,0.4943204868154158,1.0336770847117336,0.6931933264291353,0.8074774400200206,0.2994953103228265,0.506266463611327,0.06390958820208946,0.010694241442435914,0.06533968709222913,0.44981055499008915,0.03417223959092005
r50_dynamic_eo_gradnorm_common_epoch_v2,42,9,checkpoints/r50_dynamic_eo_gradnorm_common_epoch_v2_seed42_epoch09.pt,0.1,0.1,0.09999999999999999,True,0.6960621946198643,0.6931387001205207,-0.014880089073116947,2.730915875536433,0.02681946938018679,0.10000000205533258,0.4787018255578093,1.042743778877429,0.6927171001029017,0.8068769533749519,0.2993534056453012,0.5058119113250173,0.06650599151685517,0.011212077516003855,0.06854092450811405,0.42947057310208486,0.03555928696256822
r50_dynamic_eo_gradnorm_common_epoch_v2,42,10,checkpoints/r50_dynamic_eo_gradnorm_common_epoch_v2_seed42_epoch10.pt,0.1,0.1,0.09999999999999999,True,0.693025541475122,0.6931575069899292,-0.008475886761864013,2.7912913607414547,0.022598905155329415,0.1000000019782576,0.48782961460446245,1.049847381426016,0.6932763997130358,0.806821659009111,0.299411589096549,0.5073230749023177,0.06146833800754364,0.011066530248984432,0.0627282976032043,0.4447790289686173,0.034602063451348704
