model_variant,seed,label,support,positive_support,negative_support,threshold,AUROC,AUPRC,TPR,Recall,FNR,TNR,Specificity,FPR,TP,FP,TN,FN,group
r50_baseline,123,Atelectasis,9553,848,8705,0.565,0.8102203515654632,0.3300907967724367,0.4988207547169811,0.4988207547169811,0.5011792452830188,0.880413555427915,0.880413555427915,0.119586444572085,423,1041,7664,425,Female
r50_baseline,123,Atelectasis,12741,1359,11382,0.565,0.8025879714804717,0.3409217217599505,0.5688005886681383,0.5688005886681383,0.4311994113318617,0.8452820242488139,0.8452820242488139,0.1547179757511861,773,1761,9621,586,Male
r50_baseline,123,Nodule,9553,576,8977,0.73,0.7549805134727017,0.23984734523009815,0.3177083333333333,0.3177083333333333,0.6822916666666666,0.9494263116854182,0.9494263116854182,0.050573688314581706,183,454,8523,393,Female
r50_baseline,123,Nodule,12741,704,12037,0.73,0.7757977651294872,0.22242009862393897,0.375,0.375,0.625,0.9369444213674504,0.9369444213674504,0.06305557863254964,264,759,11278,440,Male
r50_baseline,123,Mass,9553,423,9130,0.825,0.837543080121906,0.2962195749693028,0.3262411347517731,0.3262411347517731,0.6737588652482269,0.9750273822562979,0.9750273822562979,0.02497261774370208,138,228,8902,285,Female
r50_baseline,123,Mass,12741,653,12088,0.825,0.8220891993679833,0.2934021541579044,0.4058192955589586,0.4058192955589586,0.5941807044410413,0.9516048974189278,0.9516048974189278,0.04839510258107214,265,585,11503,388,Male
r50_baseline,123,Pneumothorax,9553,574,8979,0.8499999999999999,0.8451006277520174,0.3147577227604031,0.41289198606271776,0.41289198606271776,0.5871080139372822,0.9557857222407841,0.9557857222407841,0.04421427775921595,237,397,8582,337,Female
r50_baseline,123,Pneumothorax,12741,446,12295,0.8499999999999999,0.8792501964960783,0.2811379972935109,0.3834080717488789,0.3834080717488789,0.6165919282511211,0.9753558357055714,0.9753558357055714,0.02464416429442863,171,303,11992,275,Male
r50_baseline,123,Consolidation,9553,368,9185,0.7549999999999999,0.790423895292419,0.14112557441195736,0.2717391304347826,0.2717391304347826,0.7282608695652174,0.9486118671747414,0.9486118671747414,0.05138813282525857,100,472,8713,268,Female
r50_baseline,123,Consolidation,12741,583,12158,0.7549999999999999,0.8098523810424043,0.14942902050527404,0.34991423670668953,0.34991423670668953,0.6500857632933105,0.9150353676591545,0.9150353676591545,0.08496463234084553,204,1033,11125,379,Male
r50_baseline,2026,Infiltration,9553,1685,7868,0.62,0.7092529330390615,0.345413878112801,0.47655786350148366,0.47655786350148366,0.5234421364985163,0.8087188612099644,0.8087188612099644,0.19128113879003558,803,1505,6363,882,Female
r50_baseline,2026,Infiltration,12741,2412,10329,0.62,0.7092083191041276,0.35573304348092283,0.5315091210613598,0.5315091210613598,0.4684908789386401,0.7733565688837254,0.7733565688837254,0.22664343111627458,1282,2341,7988,1130,Male
r50_baseline,2026,Effusion,9553,1127,8426,0.7449999999999999,0.8680761327121381,0.5118187137398822,0.6530612244897959,0.6530612244897959,0.3469387755102041,0.8870163778779967,0.8870163778779967,0.11298362212200333,736,952,7474,391,Female
r50_baseline,2026,Effusion,12741,1426,11315,0.7449999999999999,0.8745024074708757,0.4780561565867172,0.6549789621318373,0.6549789621318373,0.3450210378681627,0.8884666372072471,0.8884666372072471,0.11153336279275299,934,1262,10053,492,Male
r50_baseline,2026,Atelectasis,9553,848,8705,0.715,0.8151341670911318,0.3330543753767826,0.47523584905660377,0.47523584905660377,0.5247641509433962,0.9008615738081562,0.9008615738081562,0.09913842619184376,403,863,7842,445,Female
r50_baseline,2026,Atelectasis,12741,1359,11382,0.715,0.8124996040247378,0.3581029631427587,0.5209713024282561,0.5209713024282561,0.47902869757174393,0.8782287822878229,0.8782287822878229,0.12177121771217712,708,1386,9996,651,Male
r50_baseline,2026,Nodule,9553,576,8977,0.7849999999999999,0.7745121019147699,0.23664339373046245,0.3107638888888889,0.3107638888888889,0.6892361111111112,0.9503174779993316,0.9503174779993316,0.049682522000668375,179,446,8531,397,Female
r50_baseline,2026,Nodule,12741,704,12037,0.7849999999999999,0.7651109599567998,0.21527522686876213,0.33238636363636365,0.33238636363636365,0.6676136363636364,0.9491567666362051,0.9491567666362051,0.05084323336379497,234,612,11425,470,Male
r50_baseline,2026,Mass,9553,423,9130,0.8699999999999999,0.8423519998757119,0.3013157060101035,0.3640661938534279,0.3640661938534279,0.6359338061465721,0.9676889375684556,0.9676889375684556,0.03231106243154436,154,295,8835,269,Female
r50_baseline,2026,Mass,12741,653,12088,0.8699999999999999,0.828466057487562,0.28653517436801607,0.42572741194486985,0.42572741194486985,0.5742725880551302,0.9477167438782264,0.9477167438782264,0.05228325612177366,278,632,11456,375,Male
r50_baseline,2026,Pneumothorax,9553,574,8979,0.8949999999999999,0.8533461545774831,0.35711133231164066,0.5069686411149826,0.5069686411149826,0.4930313588850174,0.9424212050339682,0.9424212050339682,0.057578794966031854,291,517,8462,283,Female
r50_baseline,2026,Pneumothorax,12741,446,12295,0.8949999999999999,0.898484563888124,0.26674907053234503,0.437219730941704,0.437219730941704,0.5627802690582959,0.9630744204961367,0.9630744204961367,0.03692557950386336,195,454,11841,251,Male
r50_baseline,2026,Consolidation,9553,368,9185,0.7899999999999999,0.7930211710965421,0.12843634116665287,0.37771739130434784,0.37771739130434784,0.6222826086956522,0.913663581927055,0.913663581927055,0.08633641807294502,139,793,8392,229,Female
r50_baseline,2026,Consolidation,12741,583,12158,0.7899999999999999,0.8212231067389717,0.16447764876417814,0.5008576329331046,0.5008576329331046,0.49914236706689535,0.8857542358940615,0.8857542358940615,0.11424576410593848,292,1389,10769,291,Male
