model_variant,seed,label,support,positive_support,negative_support,threshold,AUROC,AUPRC,TPR,Recall,FNR,TNR,Specificity,FPR,TP,FP,TN,FN,group
r50_dynamic_eo_projected_twostage,42,Infiltration,9553,1685,7868,0.49499999999999994,0.7022554644211085,0.3278294848853708,0.626706231454006,0.626706231454006,0.37329376854599405,0.664717844433147,0.664717844433147,0.3352821555668531,1056,2638,5230,629,Female
r50_dynamic_eo_projected_twostage,42,Infiltration,12741,2412,10329,0.49499999999999994,0.7097066222763614,0.3514353416827487,0.6293532338308457,0.6293532338308457,0.3706467661691542,0.6708297027785846,0.6708297027785846,0.32917029722141544,1518,3400,6929,894,Male
r50_dynamic_eo_projected_twostage,42,Effusion,9553,1127,8426,0.7649999999999999,0.8713216222824901,0.5060453227524732,0.6042590949423248,0.6042590949423248,0.39574090505767523,0.9086161879895561,0.9086161879895561,0.09138381201044386,681,770,7656,446,Female
r50_dynamic_eo_projected_twostage,42,Effusion,12741,1426,11315,0.7649999999999999,0.8756904938832453,0.474386804854116,0.5785413744740533,0.5785413744740533,0.4214586255259467,0.9107379584622183,0.9107379584622183,0.08926204153778171,825,1010,10305,601,Male
r50_dynamic_eo_projected_twostage,42,Atelectasis,9553,848,8705,0.6399999999999999,0.8151776521842793,0.33311226586308473,0.5660377358490566,0.5660377358490566,0.4339622641509434,0.8675473865594486,0.8675473865594486,0.1324526134405514,480,1153,7552,368,Female
r50_dynamic_eo_projected_twostage,42,Atelectasis,12741,1359,11382,0.6399999999999999,0.8134355279219774,0.3632087767616528,0.5857247976453275,0.5857247976453275,0.4142752023546726,0.845809172377438,0.845809172377438,0.15419082762256195,796,1755,9627,563,Male
r50_dynamic_eo_projected_twostage,42,Nodule,9553,576,8977,0.73,0.7644332971297019,0.23162035490136818,0.3402777777777778,0.3402777777777778,0.6597222222222222,0.941851398017155,0.941851398017155,0.05814860198284505,196,522,8455,380,Female
r50_dynamic_eo_projected_twostage,42,Nodule,12741,704,12037,0.73,0.7681608010716955,0.203642178971745,0.328125,0.328125,0.671875,0.9405998172302069,0.9405998172302069,0.059400182769793135,231,715,11322,473,Male
r50_dynamic_eo_projected_twostage,42,Mass,9553,423,9130,0.7649999999999999,0.8395710501580791,0.2808001508255034,0.425531914893617,0.425531914893617,0.574468085106383,0.9600219058050383,0.9600219058050383,0.039978094194961664,180,365,8765,243,Female
r50_dynamic_eo_projected_twostage,42,Mass,12741,653,12088,0.7649999999999999,0.8276106028988034,0.29273862307247883,0.4349157733537519,0.4349157733537519,0.5650842266462481,0.950198544010589,0.950198544010589,0.049801455989410985,284,602,11486,369,Male
r50_dynamic_eo_projected_twostage,42,Pneumothorax,9553,574,8979,0.6799999999999999,0.8578675445959271,0.36084158457565874,0.5383275261324042,0.5383275261324042,0.4616724738675958,0.9389687047555407,0.9389687047555407,0.06103129524445929,309,548,8431,265,Female
r50_dynamic_eo_projected_twostage,42,Pneumothorax,12741,446,12295,0.6799999999999999,0.8857447794046578,0.28942574564711826,0.47533632286995514,0.47533632286995514,0.5246636771300448,0.9554290361935747,0.9554290361935747,0.044570963806425376,212,548,11747,234,Male
r50_dynamic_eo_projected_twostage,42,Consolidation,9553,368,9185,0.7699999999999999,0.7809214574802963,0.12134472532451744,0.266304347826087,0.266304347826087,0.7336956521739131,0.9417528579205225,0.9417528579205225,0.058247142079477406,98,535,8650,270,Female
r50_dynamic_eo_projected_twostage,42,Consolidation,12741,583,12158,0.7699999999999999,0.8198912997166806,0.16111230522057435,0.31046312178387653,0.31046312178387653,0.6895368782161235,0.9369962164829742,0.9369962164829742,0.06300378351702583,181,766,11392,402,Male
