model_variant,seed,label,support,positive_support,negative_support,threshold,AUROC,AUPRC,TPR,Recall,FNR,TNR,Specificity,FPR,TP,FP,TN,FN,group
r50_baseline,42,Infiltration,9553,1685,7868,0.5149999999999999,0.7030369795995951,0.3337722857273384,0.5887240356083087,0.5887240356083087,0.4112759643916914,0.7089476359938993,0.7089476359938993,0.2910523640061007,992,2290,5578,693,Female
r50_baseline,42,Infiltration,12741,2412,10329,0.5149999999999999,0.7059707433080187,0.3521350487183921,0.5978441127694859,0.5978441127694859,0.4021558872305141,0.6973569561428986,0.6973569561428986,0.3026430438571014,1442,3126,7203,970,Male
r50_baseline,42,Effusion,9553,1127,8426,0.7549999999999999,0.8701555648833597,0.508163444923661,0.6015971606033718,0.6015971606033718,0.39840283939662824,0.9094469499169238,0.9094469499169238,0.0905530500830762,678,763,7663,449,Female
r50_baseline,42,Effusion,12741,1426,11315,0.7549999999999999,0.8771016951148389,0.4800947163300633,0.5813464235624124,0.5813464235624124,0.41865357643758766,0.9142730888201502,0.9142730888201502,0.08572691117984976,829,970,10345,597,Male
r50_baseline,42,Atelectasis,9553,848,8705,0.7599999999999999,0.808642831597542,0.3236574197096097,0.47759433962264153,0.47759433962264153,0.5224056603773585,0.8981045376220563,0.8981045376220563,0.10189546237794371,405,887,7818,443,Female
r50_baseline,42,Atelectasis,12741,1359,11382,0.7599999999999999,0.8043633952580459,0.3506548249187988,0.5364238410596026,0.5364238410596026,0.46357615894039733,0.8653136531365314,0.8653136531365314,0.13468634686346864,729,1533,9849,630,Male
r50_baseline,42,Nodule,9553,576,8977,0.695,0.7629189139219982,0.23816148060020098,0.3715277777777778,0.3715277777777778,0.6284722222222222,0.9273699454160633,0.9273699454160633,0.07263005458393673,214,652,8325,362,Female
r50_baseline,42,Nodule,12741,704,12037,0.695,0.766335050261693,0.20884689795653646,0.39204545454545453,0.39204545454545453,0.6079545454545454,0.91260280800864,0.91260280800864,0.08739719199135998,276,1052,10985,428,Male
r50_baseline,42,Mass,9553,423,9130,0.71,0.8438843704929324,0.27612666729012375,0.47044917257683216,0.47044917257683216,0.5295508274231678,0.944906900328587,0.944906900328587,0.055093099671412925,199,503,8627,224,Female
r50_baseline,42,Mass,12741,653,12088,0.71,0.830810148750916,0.30347305924765905,0.4762633996937213,0.4762633996937213,0.5237366003062787,0.938368630046327,0.938368630046327,0.06163136995367306,311,745,11343,342,Male
r50_baseline,42,Pneumothorax,9553,574,8979,0.7949999999999999,0.8536418503414664,0.3565720053293614,0.519163763066202,0.519163763066202,0.4808362369337979,0.9371867691279653,0.9371867691279653,0.06281323087203475,298,564,8415,276,Female
r50_baseline,42,Pneumothorax,12741,446,12295,0.7949999999999999,0.8745136836039294,0.2687823294229817,0.40358744394618834,0.40358744394618834,0.5964125560538116,0.9668971126474176,0.9668971126474176,0.03310288735258235,180,407,11888,266,Male
r50_baseline,42,Consolidation,9553,368,9185,0.7599999999999999,0.790074791129204,0.12975442755289732,0.30978260869565216,0.30978260869565216,0.6902173913043478,0.9321720195971693,0.9321720195971693,0.0678279804028307,114,623,8562,254,Female
r50_baseline,42,Consolidation,12741,583,12158,0.7599999999999999,0.8225666235052089,0.16521995843788456,0.3653516295025729,0.3653516295025729,0.6346483704974271,0.9302516861325876,0.9302516861325876,0.0697483138674124,213,848,11310,370,Male
