model_variant,seed,label,support,positive_support,negative_support,threshold,AUROC,AUPRC,TPR,Recall,FNR,TNR,Specificity,FPR,TP,FP,TN,FN,group
r50_static_grl,42,Infiltration,9553,1685,7868,0.5099999999999999,0.7006324683690387,0.3351753580650665,0.5388724035608309,0.5388724035608309,0.4611275964391691,0.748220640569395,0.748220640569395,0.251779359430605,908,1981,5887,777,Female
r50_static_grl,42,Infiltration,12741,2412,10329,0.5099999999999999,0.6987493912950496,0.34450491837179187,0.5534825870646766,0.5534825870646766,0.4465174129353234,0.7317262077645464,0.7317262077645464,0.26827379223545356,1335,2771,7558,1077,Male
r50_static_grl,42,Effusion,9553,1127,8426,0.735,0.8669289251526573,0.492435046719503,0.6690328305235137,0.6690328305235137,0.33096716947648624,0.8770472347495846,0.8770472347495846,0.12295276525041537,754,1036,7390,373,Female
r50_static_grl,42,Effusion,12741,1426,11315,0.735,0.8687424814954146,0.47135275755865225,0.6626928471248247,0.6626928471248247,0.3373071528751753,0.8733539549270879,0.8733539549270879,0.12664604507291205,945,1433,9882,481,Male
r50_static_grl,42,Atelectasis,9553,848,8705,0.6449999999999999,0.8057917809109924,0.3195055471693348,0.6108490566037735,0.6108490566037735,0.3891509433962264,0.8207926479035037,0.8207926479035037,0.17920735209649627,518,1560,7145,330,Female
r50_static_grl,42,Atelectasis,12741,1359,11382,0.6449999999999999,0.8079376780838133,0.35272989324864124,0.6394407652685798,0.6394407652685798,0.36055923473142015,0.8124231242312423,0.8124231242312423,0.1875768757687577,869,2135,9247,490,Male
r50_static_grl,42,Nodule,9553,576,8977,0.7599999999999999,0.7550433669996164,0.21935550574807397,0.3420138888888889,0.3420138888888889,0.6579861111111112,0.9377297538153058,0.9377297538153058,0.06227024618469422,197,559,8418,379,Female
r50_static_grl,42,Nodule,12741,704,12037,0.7599999999999999,0.7730536220705854,0.22678416969784193,0.42329545454545453,0.42329545454545453,0.5767045454545454,0.9207443715211432,0.9207443715211432,0.07925562847885685,298,954,11083,406,Male
r50_static_grl,42,Mass,9553,423,9130,0.8899999999999999,0.8423811299356032,0.29752757568059396,0.30260047281323876,0.30260047281323876,0.6973995271867612,0.9783132530120482,0.9783132530120482,0.021686746987951807,128,198,8932,295,Female
r50_static_grl,42,Mass,12741,653,12088,0.8899999999999999,0.8329638293149877,0.3060086210870063,0.31393568147013784,0.31393568147013784,0.6860643185298622,0.9677365982792853,0.9677365982792853,0.032263401720714756,205,390,11698,448,Male
r50_static_grl,42,Pneumothorax,9553,574,8979,0.8799999999999999,0.8547039491682684,0.3559898662316698,0.4808362369337979,0.4808362369337979,0.519163763066202,0.9514422541485689,0.9514422541485689,0.04855774585143112,276,436,8543,298,Female
r50_static_grl,42,Pneumothorax,12741,446,12295,0.8799999999999999,0.8921605815189739,0.30660890339619107,0.42152466367713004,0.42152466367713004,0.57847533632287,0.969499796665311,0.969499796665311,0.030500203334688898,188,375,11920,258,Male
r50_static_grl,42,Consolidation,9553,368,9185,0.7899999999999999,0.8007269058720503,0.13725822622793665,0.34782608695652173,0.34782608695652173,0.6521739130434783,0.9343494828524769,0.9343494828524769,0.06565051714752314,128,603,8582,240,Female
r50_static_grl,42,Consolidation,12741,583,12158,0.7899999999999999,0.8203997565501909,0.16378761021325586,0.3876500857632933,0.3876500857632933,0.6123499142367067,0.9124856061852278,0.9124856061852278,0.08751439381477216,226,1064,11094,357,Male
